anoMes;codigoPessoa;nomePessoa;tipoPessoa;municipioPessoa;siglaUFPessoa;codigoUG;nomeUG;codigoOrgao;nomeOrgao;codigoOrgaoSuperior;nomeOrgaoSuperior;valor;_anoConsulta
202001;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;200125;SUPERINTENDENCIA DA PRF EM SANTA CATARINA;30802;Polícia Rodoviária Federal;30000;Ministério da Justiça e Segurança Pública;403.6;2020
202004;80.655.525/0001-02;CLINMEDI - CLINICA MEDICA ITAJAI LTDA;Entidades Empresariais Privadas;ITAJAÍ;SC;785344;DELEGACIA DA CAPITANIA DOS PORTOS EM ITAJAI;52131;Comando da Marinha;52000;Ministério da Defesa;5388.9;2020
202005;04.856.713/0001-02;CLINICA DE ESPORTE ITAJAI LTDA;Entidades Empresariais Privadas;ITAJAÍ;SC;785344;DELEGACIA DA CAPITANIA DOS PORTOS EM ITAJAI;52131;Comando da Marinha;52000;Ministério da Defesa;9138.94;2020
202007;08.259.606/0001-58;FUNDO MUNICIPAL DE SAUDE DE ITAJAI;Administração Pública;ITAJAÍ;SC;257001;DIRETORIA EXECUTIVA DO FUNDO NAC. DE SAUDE;36000;Ministério da Saúde - Unidades com vínculo direto;36000;Ministério da Saúde;22991765.13;2020
202003;84.307.974/0001-02;FUNDACAO UNIVERSIDADE DO VALE DO ITAJAI;Entidades Sem Fins Lucrativos;ITAJAÍ;SC;364102;CONSELHO NAC DE DESENV CIENT E TECNOLOGICO;20501;Conselho Nacional de Desenvolvimento Científico e Tecnológico;24000;Ministério da Ciência, Tecnologia e Inovação;285.0;2020
202008;84.307.974/0001-02;FUNDACAO UNIVERSIDADE DO VALE DO ITAJAI;Entidades Sem Fins Lucrativos;ITAJAÍ;SC;151714;FUNDO DE FINANCIAMENTO ESTUDANTIL;26298;Fundo Nacional de Desenvolvimento da Educação;26000;Ministério da Educação;755339.57;2020
202003;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;153173;FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO;26298;Fundo Nacional de Desenvolvimento da Educação;26000;Ministério da Educação;1729674.32;2020
202010;04.856.713/0001-02;CLINICA DE ESPORTE ITAJAI LTDA;Entidades Empresariais Privadas;ITAJAÍ;SC;785344;DELEGACIA DA CAPITANIA DOS PORTOS EM ITAJAI;52131;Comando da Marinha;52000;Ministério da Defesa;4956.62;2020
202003;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;193125;IBAMA - SUPERINTENDENCIA DE SANTA CATARINA/SC;20701;Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis;44000;Ministério do Meio Ambiente e Mudança do Clima;104.91;2020
202007;82.645.011/0001-93;SOCIEDADE RADIO DIFUSORA VALE DO ITAJAI LTDA;Entidades Empresariais Privadas;ITAJAÍ;SC;250110;SUBSECRETARIA DE ASSUNTOS ADMINISTRATIVOS/MS;36000;Ministério da Saúde - Unidades com vínculo direto;36000;Ministério da Saúde;85.39;2020
202009;09.333.052/0001-54;COOPERATIVA DE PRODUTORES RURAIS DE ITAJAI COOPERAR;Entidades Empresariais Privadas;ITAJAÍ;SC;160446;62º BATALHAO DE INFANTARIA;52121;Comando do Exército;52000;Ministério da Defesa;35418.37;2020
202002;01.406.705/0001-76;FUNDACAO CULTURAL E EDUCACIONAL DE ITAJAI;Entidades Sem Fins Lucrativos;ITAJAÍ;SC;250110;SUBSECRETARIA DE ASSUNTOS ADMINISTRATIVOS/MS;36000;Ministério da Saúde - Unidades com vínculo direto;36000;Ministério da Saúde;78.87;2020
