sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_tot_turno;cd_cargo;sg_ue;sq_candidato;sq_eleicao_divulga;nm_regiao;qt_votos_nom_validos
SC;ITAJAÍ;Vereador;44000;ALEXANDRA GONÇALVES CAMBRUI;UNIÃO;UNIÃO;1;Suplente;13;81612;240001974269;2045202024;SUL;422
SC;ITAJAÍ;Vereador;20620;MAGNO DOMINGOS;PODE;PODE;1;Não eleito;13;81612;240002279357;2045202024;SUL;211
SC;ITAJAÍ;Vereador;20555;ARTUR JERÓNIMO LOURENÇO CARDOSO;PODE;PODE;1;Não eleito;13;81612;240002279355;2045202024;SUL;37
SC;ITAJAÍ;Vereador;25274;CRISTIANO KLAUS FISCHER;PRD;PRD;1;Eleito por QP;13;81612;240001881292;2045202024;SUL;1731
SC;ITAJAÍ;Vereador;27470;GIRSON RODRIGUES DE OLIVEIRA;DC;DC;1;Não eleito;13;81612;240001939711;2045202024;SUL;105
SC;ITAJAÍ;Vereador;27777;CLEVERSON APETZ;DC;DC;1;Não eleito;13;81612;240001939708;2045202024;SUL;546
SC;ITAJAÍ;Vereador;25222;LEONARDO THIAGO CARDOSO;PRD;PRD;1;Suplente;13;81612;240001881281;2045202024;SUL;495
SC;ITAJAÍ;Vereador;45010;DANIELA SARCINELLI OCCHIALINI;PSDB;Federação PSDB CIDADANIA(PSDB/CIDADANIA);1;Suplente;13;81612;240001904936;2045202024;SUL;240
SC;ITAJAÍ;Vereador;45444;LARISSA APARECIDA VANZUITA;PSDB;Federação PSDB CIDADANIA(PSDB/CIDADANIA);1;Suplente;13;81612;240001904946;2045202024;SUL;321
SC;ITAJAÍ;Vereador;10999;CHRISTIANE STUART;REPUBLICANOS;REPUBLICANOS;1;Suplente;13;81612;240001960672;2045202024;SUL;1244
SC;ITAJAÍ;Vereador;30000;JOÃO FRANCISCO DE FRANCA;NOVO;NOVO;1;Não eleito;13;81612;240002045929;2045202024;SUL;101
SC;ITAJAÍ;Vereador;44144;AIRLON DA SILVA JAQUES;UNIÃO;UNIÃO;1;Suplente;13;81612;240001974266;2045202024;SUL;535
SC;ITAJAÍ;Vereador;15181;ANDRÉIA ANTUNES DA SILVA;MDB;MDB;1;Suplente;13;81612;240002076420;2045202024;SUL;69
SC;ITAJAÍ;Vereador;11888;JOSÉ GILMAR DOS SANTOS BERTOLLO;PP;PP;1;Suplente;13;81612;240001894130;2045202024;SUL;129
SC;ITAJAÍ;Vereador;11234;SIMONE KATSWINCKEL DA SILVA;PP;PP;1;Suplente;13;81612;240001894140;2045202024;SUL;109
SC;ITAJAÍ;Vereador;11555;MAURÍLIO MORAES;PP;PP;1;Eleito por média;13;81612;240001894132;2045202024;SUL;2119
SC;ITAJAÍ;Vereador;36069;TALITA CANUTO DE SOUSA;AGIR;AGIR;1;Não eleito;13;81612;240001944208;2045202024;SUL;49
SC;ITAJAÍ;Vereador;36177;FRANCISCO DAS CHAGAS MOURÃO CHAVES COSTA;AGIR;AGIR;1;Não eleito;13;81612;240001944212;2045202024;SUL;8
SC;ITAJAÍ;Vereador;36122;ERVINO RIBEIRO MACEDO;AGIR;AGIR;1;Não eleito;13;81612;240001944213;2045202024;SUL;26
SC;ITAJAÍ;Vereador;12345;SÉRGIO RODRIGO REBELO BANG;PDT;PDT;1;Suplente;13;81612;240002115239;2045202024;SUL;1759
SC;ITAJAÍ;Vereador;12311;JOSÉ ALVERCINO FERREIRA;PDT;PDT;1;Suplente;13;81612;240002115242;2045202024;SUL;638
SC;ITAJAÍ;Vereador;13266;CICERO LEANDRO DOS SANTOS;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);1;Não eleito;13;81612;240002352292;2045202024;SUL;13
SC;ITAJAÍ;Vereador;25257;ELIANE GUEDES DE SOUZA;PRD;PRD;1;Suplente;13;81612;240001881295;2045202024;SUL;196
SC;ITAJAÍ;Vereador;27221;AUDDIE EMILIO CLEMENTE SILVA FILHO;DC;DC;1;Não eleito;13;81612;240001939699;2045202024;SUL;135
SC;ITAJAÍ;Vereador;20920;WESLEY DOS SANTOS;PODE;PODE;1;Não eleito;13;81612;240002279353;2045202024;SUL;190
SC;ITAJAÍ;Vereador;33033;LUCIANO DAY;MOBILIZA;MOBILIZA;1;Não eleito;13;81612;240002169780;2045202024;SUL;128
SC;ITAJAÍ;Vereador;30022;FLAVIA CRISTINA FAITA SEHN;NOVO;NOVO;1;Não eleito;13;81612;240002045920;2045202024;SUL;448
SC;ITAJAÍ;Vereador;15648;CELIA REGINA DA COSTA;MDB;MDB;1;Suplente;13;81612;240002076432;2045202024;SUL;1372
SC;ITAJAÍ;Vereador;11123;EDUARDO LINÉSIO REIS;PP;PP;1;Suplente;13;81612;240001894139;2045202024;SUL;399
SC;ITAJAÍ;Vereador;45678;BRUNO LEONARDO DE FREITAS;PSDB;Federação PSDB CIDADANIA(PSDB/CIDADANIA);1;Suplente;13;81612;240001904941;2045202024;SUL;294
SC;ITAJAÍ;Vereador;36007;AMAURI VALERIO CANUTO;AGIR;AGIR;1;Não eleito;13;81612;240001944218;2045202024;SUL;67
SC;ITAJAÍ;Vereador;36123;EDER ORACI MARTINS;AGIR;AGIR;1;Não eleito;13;81612;240001944217;2045202024;SUL;449
SC;ITAJAÍ;Vereador;12222;JACQUELINE ADAIR BERNARDES RODRIGUES;PDT;PDT;1;Suplente;13;81612;240002115252;2045202024;SUL;91
SC;ITAJAÍ;Vereador;12234;THUANY FERREIRA;PDT;PDT;1;Suplente;13;81612;240002115253;2045202024;SUL;29
SC;ITAJAÍ;Vereador;43212;RAFAELA KATERINE FERREIRA;PV;Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);1;Não eleito;13;81612;240002352303;2045202024;SUL;8
SC;ITAJAÍ;Vereador;25125;MAX EMILIANO DE OLIVEIRA;PRD;PRD;1;Suplente;13;81612;240001881296;2045202024;SUL;164
SC;ITAJAÍ;Vereador;70244;RAMON ISTEBAN GARCIA RAIO;AVANTE;AVANTE;1;Não eleito;13;81612;240002052965;2045202024;SUL;300
SC;ITAJAÍ;Vereador;55000;ODIVAN WIVALDO LINHARES;PSD;PSD;1;Suplente;13;81612;240001970584;2045202024;SUL;1221
SC;ITAJAÍ;Vereador;55999;CESAR DOS SANTOS FRANCELINO JÚNIOR;PSD;PSD;1;Suplente;13;81612;240001970573;2045202024;SUL;96
SC;ITAJAÍ;Vereador;27011;CARLOS CHRISTIANO WAGNER HAIS;DC;DC;1;Não eleito;13;81612;240001939709;2045202024;SUL;350
SC;ITAJAÍ;Vereador;25321;JORGE PASSOS DA SILVA;PRD;PRD;1;Suplente;13;81612;240001881288;2045202024;SUL;374
