ano,parlamentar,favorecido_consulta,cnpj_consulta,tipo_favorecido,funcao,subfuncao,fase,valor,data,documento
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,08 - Assistência social,242 - Assistência ao portador de deficiência,LIQUIDADO,0.0,07/04/2026,510181572022026NS023473
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,04 - Administração,122 - Administração geral,LIQUIDADO,0.0,11/05/2026,170156000012026NS002473
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,08 - Assistência social,242 - Assistência ao portador de deficiência,LIQUIDADO,0.0,14/05/2026,510181572022026NS043975
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,12 - Educação,365 - Educação infantil,LIQUIDADO,0.0,25/05/2026,157241152532026NS002958
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,12 - Educação,365 - Educação infantil,LIQUIDADO,0.0,01/06/2026,157241152532026NS003189
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,12 - Educação,365 - Educação infantil,LIQUIDADO,0.0,09/07/2026,157241152532026NS004026
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,08 - Assistência social,242 - Assistência ao portador de deficiência,LIQUIDADO,0.0,11/06/2026,510181572022026NS058800
2026,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,08 - Assistência social,242 - Assistência ao portador de deficiência,LIQUIDADO,0.0,13/07/2026,510181572022026NS068640
2026,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,LIQUIDADO,0.0,22/01/2026,120073000012026NS000120
2026,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,LIQUIDADO,0.0,02/02/2026,785344000012026NS000087
2026,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,LIQUIDADO,0.0,02/02/2026,785344000012026NS000089
